sku,week,week_start,week_end,n_days,actual,predicted,accuracy_pct
IC-1057685,8,2026-07-15,2026-07-21,7,126,71.5,15.1
IC-1088406,1,2026-05-27,2026-06-02,7,23,33.3,26.3
IC-1088406,2,2026-06-03,2026-06-09,7,27,16.9,48.2
IC-1088406,3,2026-06-10,2026-06-16,7,70,116.2,33.4
IC-1088406,4,2026-06-17,2026-06-23,7,47,82.4,-13.5
IC-1088406,5,2026-06-24,2026-06-30,7,20,18.6,63.1
IC-1088406,6,2026-07-01,2026-07-07,7,26,22.6,56.3
IC-1088406,7,2026-07-08,2026-07-14,7,48,43.9,13.9
IC-1088406,8,2026-07-15,2026-07-21,7,6,28.9,-282.3
IC-1094191,1,2026-05-27,2026-06-02,7,32,24.3,43.1
IC-1094191,2,2026-06-03,2026-06-09,7,64,33.0,49.1
IC-1094191,3,2026-06-10,2026-06-16,7,51,32.3,33.0
IC-1094191,4,2026-06-17,2026-06-23,7,29,26.3,53.5
IC-1094191,5,2026-06-24,2026-06-30,7,41,30.6,62.6
IC-1094191,6,2026-07-01,2026-07-07,7,42,30.2,52.3
IC-1094191,7,2026-07-08,2026-07-14,7,49,33.8,48.6
IC-1094191,8,2026-07-15,2026-07-21,7,27,27.5,39.6
IC-1097379,1,2026-05-27,2026-06-02,7,6,15.4,-78.0
IC-1097379,2,2026-06-03,2026-06-09,7,4,15.4,-198.6
IC-1097379,3,2026-06-10,2026-06-16,7,25,19.2,7.0
IC-1097379,4,2026-06-17,2026-06-23,7,87,36.6,42.1
IC-1097379,5,2026-06-24,2026-06-30,7,74,34.1,25.7
IC-1097379,6,2026-07-01,2026-07-07,7,99,51.2,40.4
IC-1097379,7,2026-07-08,2026-07-14,7,48,30.2,6.0
IC-1097379,8,2026-07-15,2026-07-21,7,26,25.5,26.5
IC-1116441,1,2026-05-27,2026-06-02,7,48,67.3,16.8
IC-1116441,2,2026-06-03,2026-06-09,7,269,98.4,36.6
IC-1116441,3,2026-06-10,2026-06-16,7,137,108.4,39.5
IC-1116441,4,2026-06-17,2026-06-23,7,249,105.0,33.4
IC-1116441,5,2026-06-24,2026-06-30,7,155,104.0,-7.1
IC-1116441,6,2026-07-01,2026-07-07,7,266,113.4,21.1
IC-1116441,7,2026-07-08,2026-07-14,7,156,115.3,47.4
IC-1116441,8,2026-07-15,2026-07-21,7,86,93.3,-7.8
IC-1133439,1,2026-05-27,2026-06-02,7,28,56.5,-123.8
