sku,product_id,channel,date,forecast_horizon_day,y_pred,as_of_date,model_version
IC-1042719,18836,naheed_web,2026-07-02,2,4.808573625745593,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-03,3,4.74550646015278,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-04,4,5.166175209121378,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-05,5,4.761143842390438,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-06,6,4.863565321904646,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-07,7,3.539876091156269,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-08,8,4.291385615068838,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-09,9,4.223239903154339,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-10,10,4.413744598887357,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-11,11,4.149702974956094,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-12,12,3.5379187663065688,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-13,13,3.6219555272680264,2026-06-30,lgbm_global_v1
IC-1042719,18836,naheed_web,2026-07-14,14,3.3998361673453754,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-01,1,4.977763384344919,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-02,2,5.402561306290465,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-03,3,5.2742950512404425,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-04,4,3.9744360471079707,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-05,5,4.900466067819537,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-06,6,4.660520158238665,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-07,7,4.307284734085485,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-08,8,3.648542547579751,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-09,9,3.68065500883874,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-10,10,3.493592337607356,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-11,11,3.9605792493635925,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-12,12,3.526758738067877,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-13,13,3.1585188198995655,2026-06-30,lgbm_global_v1
IC-1044104,4560,naheed_web,2026-07-14,14,1.1691406981901584,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-01,1,20.036127020484244,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-02,2,14.530016115625177,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-03,3,13.579240812535131,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-04,4,15.91114671320228,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-05,5,16.736855969962882,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-06,6,20.637925099085127,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-07,7,22.09536061145766,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-08,8,21.211536606489947,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-09,9,18.818612884620403,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-10,10,15.899659059544533,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-11,11,16.53073765816885,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-12,12,17.844234577523505,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-13,13,21.219168483642857,2026-06-30,lgbm_global_v1
IC-1044359,22105,naheed_web,2026-07-14,14,22.713289579613043,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-01,1,34.852667778697494,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-02,2,21.958132991910684,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-03,3,17.537065888203355,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-04,4,17.58507972654414,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-05,5,14.691644363077693,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-06,6,24.805268454509726,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-07,7,29.704586103906315,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-08,8,16.681289823239002,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-09,9,16.819737338138427,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-10,10,9.974609651730162,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-11,11,17.21451954317603,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-12,12,14.015649818969917,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-13,13,28.71764123997945,2026-06-30,lgbm_global_v1
IC-1053521,9346,naheed_web,2026-07-14,14,25.13901168492754,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-01,1,16.83092452084207,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-02,2,12.91140551896556,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-03,3,27.500241080809346,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-04,4,14.26638291525728,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-05,5,9.585528217650813,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-06,6,18.2441347998627,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-07,7,13.664810482680094,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-08,8,10.566618627243164,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-09,9,7.122386775424762,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-10,10,8.263824885822093,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-11,11,6.190251788185669,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-12,12,7.220609674280813,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-13,13,17.397413075610118,2026-06-30,lgbm_global_v1
IC-1053526,9345,naheed_web,2026-07-14,14,9.246001233562977,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-01,1,44.77483583649706,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-02,2,32.90597123286934,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-03,3,34.21056872426767,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-04,4,41.60317927039716,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-05,5,36.85297464864395,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-06,6,37.222570999316915,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-07,7,35.26862260140479,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-08,8,33.39855344949833,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-09,9,23.59519940834071,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-10,10,29.63353160296722,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-11,11,34.822827392217995,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-12,12,31.12492157035756,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-13,13,29.157101418927414,2026-06-30,lgbm_global_v1
IC-1055803,1987,naheed_web,2026-07-14,14,31.155156366587537,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-01,1,0.36669143951907485,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-02,2,0.5970927495063506,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-03,3,0.6282980227844815,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-04,4,0.8249649287073334,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-05,5,0.845738324335268,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-06,6,1.8670320839538281,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-07,7,13.52094003201768,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-08,8,7.843216249717677,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-09,9,5.419801044594668,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-10,10,4.286318374802239,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-11,11,4.266974481155997,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-12,12,4.469482223192115,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-13,13,6.649523600036757,2026-06-30,lgbm_global_v1
IC-1057685,9335,naheed_web,2026-07-14,14,5.808393491903924,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-01,1,3.125690302964651,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-02,2,2.805061210284179,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-03,3,2.513782928357619,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-04,4,2.9327282796990812,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-05,5,2.812374118314011,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-06,6,1.163880182451204,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-07,7,1.866297046011399,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-08,8,2.346918391481293,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-09,9,2.1684166122048074,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-10,10,2.1648390989873465,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-11,11,2.3039004654784745,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-12,12,2.1354421950206333,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-13,13,1.6742459768674793,2026-06-30,lgbm_global_v1
IC-1088406,4313,naheed_web,2026-07-14,14,0.7623982794276192,2026-06-30,lgbm_global_v1
